Table 3 
Planet Catalog


CPS Name	Lit. Name	$M\sin i$ (M _J)	a (au)	e	References	
HD 104067 b	HD 104067 b	${0.202}_{-0.017}^{+0.017}$	${0.2673}_{-0.0033}^{+0.0032}$	${0.247}_{-0.082}^{+0.080}$	Vogt et al. (2000)	
HD 10697 b	HD 10697 b	${6.39}_{-0.13}^{+0.13}$	${2.156}_{-0.02}^{+0.02}$	${0.0998}_{-0.0082}^{+0.0082}$	Butler et al. (2006b)	
HD 107148 b	HD 107148 b	${0.203}_{-0.015}^{+0.015}$	${0.3668}_{-0.0048}^{+0.0047}$	${0.174}_{-0.075}^{+0.071}$	Butler et al. (2006b)	
HD 107148c	HD 107148c	${0.0626}_{-0.0098}^{+0.0097}$	${0.1406}_{-0.0018}^{+0.0018}$	${0.34}_{-0.16}^{+0.13}$	This work	
HD 108874 b	HD 108874 b	${1.32}_{-0.047}^{+0.047}$	${1.053}_{-0.016}^{+0.016}$	${0.144}_{-0.016}^{+0.016}$	Butler et al. (2003)	
HD 108874c	HD 108874c	${1.14}_{-0.050}^{+0.052}$	${2.83}_{-0.045}^{+0.044}$	${0.265}_{-0.031}^{+0.030}$	Vogt et al. (2005)	
HD 114729 b	HD 114729 b	${0.892}_{-0.053}^{+0.053}$	${2.094}_{-0.022}^{+0.022}$	${0.098}_{-0.050}^{+0.048}$	Butler et al. (2003)	
HD 114783 b	HD 114783 b	${1.033}_{-0.033}^{+0.034}$	${1.164}_{-0.016}^{+0.016}$	${0.126}_{-0.016}^{+0.016}$	Vogt et al. (2002)	
HD 114783c	HD 114783c	${0.66}_{-0.047}^{+0.046}$	${4.97}_{-0.11}^{+0.12}$	${0.114}_{-0.058}^{+0.058}$	Bryan et al. (2016)	
HD 115617 b	61 Vir b	${0.0507}_{-0.0036}^{+0.0035}$	${0.215}_{-0.0029}^{+0.0028}$	${0.068}_{-0.047}^{+0.067}$	Vogt et al. (2010)	
HD 115617c	61 Vir c	${0.0161}_{-0.0016}^{+0.0017}$	${0.04956}_{-0.00067}^{+0.00066}$	${0.099}_{-0.070}^{+0.091}$	Vogt et al. (2010)	
HD 117176 b	70 Vir b	${7.24}_{-0.13}^{+0.13}$	${0.4766}_{-0.0044}^{+0.0043}$	${0.3989}_{-0.0012}^{+0.0011}$	Butler & Marcy (1996)	
HD 117207 b	HD 117207 b	${1.87}_{-0.075}^{+0.076}$	${3.744}_{-0.060}^{+0.059}$	${0.142}_{-0.026}^{+0.027}$	Marcy et al. (2005)	
HD 11964a b	HD 11964a b	${0.631}_{-0.027}^{+0.027}$	${3.185}_{-0.032}^{+0.032}$	${0.101}_{-0.046}^{+0.044}$	Butler et al. (2006b)	
HD 11964a c	HD 11964a c	${0.0766}_{-0.0061}^{+0.0063}$	${0.2315}_{-0.0022}^{+0.0022}$	${0.106}_{-0.071}^{+0.088}$	Wright et al. (2009)	
HD 120066 b	HR 5183 b	${3.15}_{-0.17}^{+0.18}$	${25.0}_{-8.3}^{+19.0}$	${0.886}_{-0.056}^{+0.049}$	Blunt et al. (2019)	
HD 120136 b	tau Boo b	${4.3}_{-0.075}^{+0.075}$	${0.04869}_{-0.00040}^{+0.00039}$	${0.0074}_{-0.0048}^{+0.0059}$	Butler et al. (1997)	
HD 12661 b	HD 12661 b	${2.283}_{-0.063}^{+0.062}$	${0.824}_{-0.011}^{+0.011}$	${0.3597}_{-0.0044}^{+0.0046}$	Fischer et al. (2001)	
HD 12661c	HD 12661c	${1.855}_{-0.054}^{+0.054}$	${2.86}_{-0.039}^{+0.038}$	${0.025}_{-0.012}^{+0.012}$	Fischer et al. (2003)	
HD 126614 b	HD 126614 b	${0.356}_{-0.030}^{+0.032}$	${2.291}_{-0.027}^{+0.026}$	${0.577}_{-0.065}^{+0.069}$	Howard et al. (2010a)	
HD 128311 b	HD 128311 b	${3.25}_{-0.12}^{+0.12}$	${1.742}_{-0.021}^{+0.020}$	${0.196}_{-0.057}^{+0.047}$	Butler et al. (2003)	
HD 128311c	HD 128311c	${2.0}_{-0.15}^{+0.15}$	${1.088}_{-0.013}^{+0.012}$	${0.283}_{-0.04}^{+0.04}$	Vogt et al. (2005)	
HD 130322 b	HD 130322 b	${1.149}_{-0.036}^{+0.037}$	${0.0929}_{-0.0011}^{+0.0011}$	${0.015}_{-0.010}^{+0.016}$	Udry et al. (2000)	
HD 1326 b	HD 1326 b	${0.0171}_{-0.0013}^{+0.0013}$	${0.07321}_{-0.00048}^{+0.00047}$	${0.075}_{-0.052}^{+0.072}$	Howard et al. (2014)	
